Backbone,Coreset Ratio,Image AUROC,Pixel AUROC,Image F1-Score,Fitting Time (s),Inference Speed (ms/img),Memory Points,Memory Size (MB)
resnet18,1%,0.9969,0.7997,0.9945,53.84,31.37,6272,12.25
resnet18,5%,0.9980,0.8011,0.9956,196.47,35.73,31360,61.25
resnet18,10%,0.9979,0.8027,0.9956,376.05,41.08,62720,122.50
resnet18,25%,0.9978,0.8050,0.9956,907.82,66.88,156800,306.25
resnet18,50%,0.9974,0.8050,0.9950,1790.89,110.64,313600,612.50
resnet50,1%,0.9973,0.7827,0.9967,61.49,34.35,6272,12.25
resnet50,5%,0.9968,0.7856,0.9972,202.21,39.83,31360,61.25
resnet50,10%,0.9976,0.7864,0.9972,379.12,47.15,62720,122.50
resnet50,25%,0.9980,0.7865,0.9972,909.27,73.48,156800,306.25
resnet50,50%,0.9981,0.7865,0.9972,1791.23,118.11,313600,612.50
