Model,Num Positives,Epochs,Batch Size,LR,Accuracy,AUROC,F1,Precision,Recall
resnet50,5,10,16,0.0001,0.4490,0.9064,0.5588,1.0000,0.3878
resnet50,10,10,16,0.0001,0.3180,0.8522,0.3900,1.0000,0.2422
resnet50,50,10,16,0.0001,0.9710,1.0000,0.9836,1.0000,0.9678
resnet50,100,10,16,0.0001,0.9820,1.0000,0.9899,1.0000,0.9800
resnet50,200,10,16,0.0001,0.9610,0.9983,0.9779,1.0000,0.9567
efficientnet_b0,5,10,16,0.0001,0.2240,0.9515,0.2422,1.0000,0.1378
efficientnet_b0,10,10,16,0.0001,0.3490,0.9049,0.4334,1.0000,0.2767
efficientnet_b0,50,10,16,0.0001,0.9610,0.9995,0.9779,1.0000,0.9567
efficientnet_b0,100,10,16,0.0001,0.9660,1.0000,0.9807,1.0000,0.9622
efficientnet_b0,200,10,16,0.0001,0.9540,0.9999,0.9738,1.0000,0.9489
